drug_name,company,date,summary,classification,path_to_future_approval,link
(b)(4),(b)(4),2024-03-26,The CRL indicates deficiencies related to facility inspections and requires a safety update with detailed information on the safety profile and adverse events. The proposed labeling and proprietary name also require further review and resubmission.,others,"Resubmit the BLA addressing all identified deficiencies, including resolving facility inspection issues, providing a comprehensive safety update with new data and analyses, and resubmitting proposed labeling and proprietary name. The resubmission must be clearly marked and considered a complete response to all deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761357_20240326.pdf
,,2024-04-12,"The CRL indicates deficiencies related to facility inspections, labeling, and a safety update. The applicant needs to address these issues to proceed with the application.",others,"The applicant must address deficiencies related to facility inspections, including providing the date of the facility's response to the FDA Form 483. They also need to provide a comprehensive safety update with new data and comparisons, and resubmit the proposed proprietary name. The resubmission must fully address all listed deficiencies and be clearly marked as 'RESUBMISSION'.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761356_20240412.pdf
N/A,N/A,2024-06-26,"The proposed confirmatory study did not meet the pre-specified efficacy boundary for PFS at the interim analysis. The applicant needs to address labeling deficiencies, provide a safety update with detailed changes and new data, and discuss alternative trials to verify clinical benefit after potential accelerated approval.",efficacy,"Address all deficiencies identified in the letter, including providing a safety update with detailed changes and new data. Discuss alternative trials to verify clinical benefit after potential accelerated approval. Revise labeling as per SRPI checklist and include updated content in SPL format. Add a specific statement to carton and container labeling regarding the Medication Guide. Resubmit the proposed proprietary name. Provide case report forms and narrative summaries for specific adverse events and discontinuations. Provide updated exposure information and a summary of worldwide safety experience. Include English translations of foreign labeling if applicable. The applicant must resubmit or take other actions within one year of the letter date.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761366_20240626.pdf
(b)(4),(b)(4),2025-06-26,The application is not adequate due to deficiencies in safety update information and labeling.,safety,"Resubmit the proposed proprietary name and provide a comprehensive safety update including detailed analysis of safety profile changes, adverse events, discontinuations, and worldwide safety experience. Also, revise labeling to conform with FDA guidelines and submit in structured product labeling (SPL) format. The resubmission must address all identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761027_20250626.pdf
,"Atara Biotherapeutics, Inc.",2025-01-15,"Deficiencies related to Chemistry, Manufacturing, and Controls (CMC) including unresolved inspectional observations and failure to adequately demonstrate corrections to FDA's inspectional observations.",others,"Address deficiencies related to Chemistry, Manufacturing, and Controls (CMC), including resolving inspectional observations and demonstrating adequate corrections. The company may request a meeting to discuss necessary steps for approval.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA125745_20250115.pdf
,,2024-04-19,"The CRL indicates deficiencies related to product quality, specifically in microbiology, drug substance, and drug product. It also requests a comprehensive safety update including detailed analysis of adverse events, study discontinuations, and worldwide safety experience. Labeling comments are reserved pending resolution of other deficiencies.",others,"The applicant must address all identified deficiencies, particularly those related to product quality (microbiology, drug substance, drug product) and provide a detailed safety update. They must also resubmit the proposed proprietary name and address labeling comments once other deficiencies are resolved. A resubmission must be clearly marked and considered a complete response to all deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761376_20240419.pdf
(b)(4),(b)(4),2024-04-05,"The application is not otherwise adequate, and a safety update is required.",safety,"Submit a safety update detailing any significant changes or findings in the safety profile and their relevance to potential clinically meaningful differences between the proposed biosimilar product and the U.S.-licensed reference product. Incorporate new safety data into sections describing discontinuations due to adverse events, serious adverse events, and common adverse events. Resubmit the proposed proprietary name when responding to all identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761147_20240405.pdf
,,2024-03-22,The application does not provide sufficient assurance of timely completion of the confirmatory trial.,efficacy,"Address the deficiency regarding the timely completion of the confirmatory trial. After enrollment and analysis of Part 1 is completed, request a meeting with the Agency to discuss trial benchmarks. Demonstrate that milestones are appropriate and that sufficient progress in the confirmatory portion of the trial will be made prior to approval to ensure timely completion.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761303Original2_20240322.pdf
,,2025-01-31,"The CRL indicates deficiencies related to safety updates and product quality, requiring a comprehensive safety update and addressing product quality issues.",safety,"The applicant must provide a detailed safety update including data from all nonclinical and clinical studies, present retabulations of adverse events, and address product quality deficiencies. A resubmission must fully address all identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761290_20250131.pdf
NNC0148-0287,,2024-07-10,The benefit-risk balance is unfavorable due to an unacceptably higher risk of clinically meaningful hypoglycemia without evidence of any relative improvement in hemoglobin a1c reduction or other benefit compared to available therapy.,efficacy,"Provide new clinical data to demonstrate favorable benefit-risk for NNC0148-0287 in subjects with type 1 diabetes. This may involve optimizing the dosing and titration algorithm and assessing other patient-important outcomes. Additionally, address deficiencies related to facility inspections and CMC.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761326_20240710.pdf
,,2024-05-16,"The CRL lists several deficiencies related to clinical trial data, adverse event reporting, and worldwide safety experience. It also mentions an incorrect signatory on the letter.",safety,"Present a retabulation of reasons for premature trial discontinuation, provide case report forms and narrative summaries for specific subject outcomes, describe changes in adverse event incidence, provide updated exposure information, provide a summary of worldwide safety experience, and provide English translations of approved foreign labeling. The applicant must resubmit within one year or take other actions available under 21 CFR 601.3(b).",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761308_20240516.pdf
deramiocel,"Capricor, Inc.",2025-07-09,The application failed to demonstrate efficacy for its prespecified primary and secondary endpoints in the HOPE-2 study. Post hoc analyses were not sufficient to provide substantial evidence of effectiveness. The study was not designed to assess effectiveness for the proposed indication and lacked adequate prespecified data collection for cardiomyopathy in DMD patients. Exploratory endpoints and post hoc analyses of cardiac function were not adequate for demonstrating effectiveness.,efficacy,"Conduct adequate and well-controlled study(ies) with the primary objective of evaluating cardiac outcomes in deramiocel-treated patients with DMD cardiomyopathy, compared to a randomized, concurrent control group over an appropriate duration of follow-up. Address all deficiencies in a resubmission.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA125842_20250709.pdf
rebisufligene etisparvovec,Ultragenyx Pharmaceutical Inc.,2025-07-07,"Deficiencies identified during pre-license inspections (PLI) related to Chemistry, Manufacturing, and Controls (CMC) were not sufficiently addressed by the sponsor's responses. Additionally, the clinical data requires updated safety and efficacy information.",others,"Address deficiencies noted during the pre-license inspection, provide comprehensive corrective actions for systemic issues, and resubmit updated safety and efficacy data including specific raw scores and biomarker results.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA125845_20250707.pdf
,,2025-03-20,"The application is not approved due to deficiencies related to safety data presentation and labeling requirements. The sponsor must provide a comprehensive safety update, including detailed descriptions of changes in the safety profile, retabulations of adverse events, and case report forms for deaths or discontinuations due to adverse events. Additionally, labeling must be revised to include a Medication Guide statement and conform to formatting regulations.",safety,"Resubmit the application addressing all identified deficiencies, including a detailed safety update with new safety data, retabulations of adverse events, and case report forms for deaths or discontinuations due to adverse events. Revise carton and container labeling to include the required Medication Guide statement. Ensure Prescribing Information conforms with format items in regulations and guidances, using the SRPI checklist. The resubmission must be clearly marked as 'RESUBMISSION' in the cover letter, stating it is a complete response to all deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761308_20250320.pdf
,,2024-03-22,The confirmatory trials in follicular lymphoma do not provide sufficient assurance of timely completion. The sponsor must demonstrate sufficient progress in the conduct of the confirmatory portion of the trials to provide assurance of timely completion.,efficacy,"Address the deficiency regarding the timely completion of confirmatory trials. After enrollment and analysis of Part 1 (safety run-in or dose-finding) is completed for intended confirmatory trials in follicular lymphoma, request a meeting with the Agency to discuss trial benchmarks. Demonstrate in the resubmission that milestones are appropriate and that sufficient progress in the conduct of the confirmatory portion of the trials will be made to provide assurance of timely completion prior to approval. Include a safety update with all nonclinical and clinical studies/trials data. Resubmit the proposed proprietary name. Address all deficiencies identified in the letter.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761303Original1_20240322.pdf
,,2024-04-19,"The application requires a safety update detailing changes in the safety profile, new safety data from clinical studies, and a summary of worldwide safety experience. Additionally, there are product quality comments regarding drug substance and drug product microbiology.",safety,"Submit a safety update that includes data from all nonclinical and clinical studies, detailing any significant changes or findings in the safety profile and their relevance to potential clinically meaningful differences between the proposed biosimilar product and the U.S.-licensed reference product. This update should incorporate new safety data, retabulations of adverse events, case report forms for specific subjects, and a summary of worldwide safety experience. Additionally, address product quality comments related to drug substance and drug product microbiology. The resubmission must fully address all deficiencies identified in this letter.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761187_20240419.pdf
(b)(4),(b)(4),2025-08-05,"The application requires a safety update including detailed information on adverse events, discontinuations, and worldwide safety experience. Additionally, the proprietary name needs to be resubmitted.",safety,"Provide a comprehensive safety update detailing changes in the safety profile, new safety data from clinical studies, reasons for study discontinuation, case report forms for deaths or discontinuations due to adverse events, comparisons of adverse event frequencies, updated exposure information, worldwide safety experience, and English translations of foreign labeling. Resubmit the proposed proprietary name.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761147_20250805.pdf
(b) (4),(b) (4),2024-12-05,"The CRL indicates deficiencies related to manufacturing (CGMP compliance, facility inspections) and requires a comprehensive safety update including new data, analysis of adverse events, and worldwide safety experience. Labeling comments are reserved until the application is otherwise adequate.",others,"Resolve all facility inspection deficiencies, including potential reinspections. Provide a detailed safety update with new clinical and nonclinical data, including analyses of adverse events, discontinuations, and worldwide safety experience. Resubmit the proposed proprietary name. Address any other deficiencies identified in the letter. Comments on labeling will be provided once the application is otherwise adequate.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761271_20241205.pdf
marnetegragene autotemcel,"Rocket Pharmaceuticals, Inc.",2024-06-14,"The application cannot be granted final approval due to deficiencies in Chemistry, Manufacturing, and Controls (CMC), including the need for formal updates and corrections to documents within the BLA submission.",others,"Formally update and correct documents within the BLA submission, including providing red-lined versions and a tabulated summary of all changes made, to address deficiencies identified in Chemistry, Manufacturing, and Controls (CMC).",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA125806_20240614.pdf
(b)(4),(b)(4),2024-11-14,"The CRL indicates deficiencies related to the safety update, requiring detailed information on safety profile changes, adverse event reporting, and worldwide safety experience. It also mentions comments on labeling and proprietary name pending resolution of deficiencies.",safety,"Resubmit the application addressing all identified deficiencies, including a comprehensive safety update with detailed data from all nonclinical and clinical studies, and revised labeling. The proprietary name must also be resubmitted. The resubmission must be clearly marked and indicate it is a complete response.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA761212_20241114.pdf
vusolimogene oderparepvec,"Replimune, Inc.",2025-07-21,"The application cannot be granted final approval due to deficiencies in demonstrating substantial evidence of effectiveness. The clinical trial data is not considered adequate and well-controlled, and the study design does not adequately isolate the contribution of the drug.",efficacy,"Conduct and provide the results from adequate and well-controlled clinical trial(s) which demonstrate substantial evidence of effectiveness. Address issues with the RP1-104 trial, including study design to isolate the drug's contribution and provide detailed justification for statistical assumptions supporting efficacy endpoints.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_BLA125827_20250721.pdf
